id,name,set_number,picture,theme_id,,,,
9105,Exxon Gas Station,6375-2,,76,,,,
9106,Breezeway Cafe,6376-1,,75,,,,
9107,Delivery Center,6377-1,,70,,,,
9108,Shell Service Station,6378-1,,76,,,,
9109,Riding Stable,6379-1,,69,,,,
9110,Emergency Treatment Center,6380-1,,78,,,,
9111,"Lots of Extra Basic Bricks, 3+",638-1,,473,,,,
9112,Motor Speedway,6381-1,,82,,,,
9113,Fire Station,6382-1,,74,,,,
9114,Public Works Center,6383-1,,72,,,,
9115,Police Station,6384-1,,80,,,,
9116,Fire House-I,6385-1,,74,,,,
9117,Police Command Base,6386-1,,80,,,,
9118,Coastal Rescue Base,6387-1,,71,,,,
9119,Holiday Home with Caravan,6388-1,,69,,,,
9120,Fire Control Center,6389-1,,74,,,,
9121,Main Street,6390-1,,85,,,,
9122,"Lots of Extra Basic Bricks, 5+",639-1,,473,,,,
9123,Cargo Center,6391-1,,70,,,,
9124,Airport,6392-1,,68,,,,
9125,Big Rig Truck Stop,6393-1,,85,,,,
9126,Metro Park & Service Tower,6394-1,,76,,,,
9127,Victory Lap Raceway,6395-1,,82,,,,
9128,International Jetport,6396-1,,68,,,,
9129,Gas N' Wash Express,6397-1,,76,,,,
9130,Central Precinct HQ,6398-1,,80,,,,
9131,Airport Shuttle,6399-1,,68,,,,
9132,4.5V Battery Train Wagon,6-Apr,,456,,,,
9133,Go-Kart,6400-1,,82,,,,
9134,Fire Truck,640-1,,417,,,,
9135,Seaside Cabana,6401-1,,90,,,,
9136,Fire Truck and Trailer,640-2,,74,,,,
9137,Sidewalk Cafe,6402-1,,90,,,,
9138,Paradise Playground,6403-1,,90,,,,
9139,Carriage Ride,6404-1,,90,,,,
9140,Sunset Stables,6405-1,,90,,,,
9141,Go-Kart,6406-1,,82,,,,
9142,Fire Chief,6407-1,,98,,,,
9143,Island Arcade,6409-1,,90,,,,
9144,Cabana Beach,6410-1,,90,,,,
9145,Excavator,641-1,,72,,,,
9146,Sand Dollar Cafe,6411-1,,90,,,,
9147,Dolphin Point,6414-1,,90,,,,
9148,Res-Q Jet-Ski,6415-1,,92,,,,
9149,Poolside Paradise,6416-1,,90,,,,
9150,Show Jumping Event,6417-1,,90,,,,
9151,Country Club,6418-1,,90,,,,
9152,Rolling Acres Ranch,6419-1,,90,,,,
9153,Mail Carrier,6420-1,,67,,,,
9154,Tow Truck and Car,642-1,,85,,,,
9155,Double Excavator,642-2,,416,,,,
9156,Telephone Repair,6422-1,,103,,,,
9157,Mini Tow Truck,6423-1,,103,,,,
9158,Rig Racers,6424-1,,101,,,,
9159,TV Chopper,6425-1,,103,,,,
9160,Super Cycle Center,6426-1,,103,,,,
9161,Road Signs,6427-1,,102,,,,
9162,Wave Saver,6428-1,,92,,,,
9163,Blaze Responder,6429-1,,98,,,,
9164,Night Patroller,6430-1,,80,,,,
9165,Flatbed Truck,643-1,,85,,,,
9166,Road Rescue,6431-1,,92,,,,
9167,Mobile Crane,643-2,,416,,,,
9168,Speedway Transport,6432-1,,101,,,,
9169,Coastwatch,6433-1,,100,,,,
9170,Roadside Repair,6434-1,,103,,,,
9171,Coast Guard HQ,6435-1,,96,,,,
9172,Go-Kart,6436-1,,82,,,,
9173,Beach Buggy,6437-1,,96,,,,
9174,Mini-Dumper,6439-1,,97,,,,
9175,Jetport Fire Squad,6440-1,,68,,,,
9176,Double Tanker,644-1,,418,,,,
9177,Deep Reef Refuge,6441-1,,86,,,,
9178,Police Mobile Patrol,644-2,,80,,,,
9179,Sting Ray Explorer,6442-1,,86,,,,
9180,Outback Airstrip,6444-1,,89,,,,
9181,Emergency Evac,6445-1,,92,,,,
9182,Crane Truck,6446-1,,103,,,,
9183,Dumper,6447-1,,97,,,,
9184,Mobile Police Truck,6450-1,,80,,,,
9185,Police Helicopter,645-1,,80,,,,
9186,River Response,6451-1,,92,,,,
9187,Milk Float & Trailer,645-2,,423,,,,
9188,Mini Rocket Launcher,6452-1,,93,,,,
9189,Com-Link Cruiser,6453-1,,93,,,,
9190,Countdown Corner,6454-1,,93,,,,
9191,Space Simulation Station,6455-1,,93,,,,
9192,Mission Control,6456-1,,93,,,,
9193,Astronaut Figure,6457-1,,93,,,,
9194,Satellite with Astronaut,6458-1,,93,,,,
9195,Fuel Truck,6459-1,,93,,,,
9196,Auto Service Truck,646-1,,85,,,,
9197,Surveillance Chopper,6461-1,,93,,,,
9198,Mobile Site Office,646-2,,423,,,,
9199,Aerial Recovery,6462-1,,92,,,,
9200,Lunar Rover,6463-1,,93,,,,
9201,Super Rescue Complex,6464-1,,103,,,,
9202,Space Port Jet,6465-1,,93,,,,
9203,Power Pitstop,6467-1,,101,,,,
9204,Tow-n-Go Value Pack,6468-1,,103,,,,
9205,Space Port Value Pack,6469-1,,93,,,,
9206,Mini Dump Truck,6470-1,,97,,,,
9207,Truck with Girders,647-1,,416,,,,
9208,4WD Police Patrol,6471-1,,100,,,,
9209,Gas N' Wash Express,6472-1,,76,,,,
9210,Res-Q Cruiser,6473-1,,92,,,,
9211,Wheeled Front Shovel,6474-1,,97,,,,
9212,Firefighter's Lift Truck,6477-1,,98,,,,
9213,Fire Fighters' HQ,6478-1,,98,,,,
9214,Emergency Response Center,6479-1,,92,,,,
9215,Hook and Ladder Truck,6480-1,,74,,,,
9216,Shell Service Station,648-1,,418,,,,
9217,Construction Crew,6481-1,,72,,,,
9218,Rescue Helicopter,6482-1,,78,,,,
9219,Coastal Patrol,6483-1,,80,,,,
9220,F1 Hauler,6484-1,,82,,,,
9221,Fire Engine,6486-1,,98,,,,
9222,Mountain Rescue,6487-1,,89,,,,
9223,Seaside Holiday Cottage,6489-1,,90,,,,
9224,Amazon Crossing,6490-1,,89,,,,
9225,Low-Loader with Excavator,649-1,,416,,,,
9226,Rocket Racer,6491-1,,464,,,,
9227,Hypno Cruiser,6492-1,,464,,,,
9228,Flying Time Vessel,6493-1,,464,,,,
9229,Mystic Mountain Time Lab,6494-1,,464,,,,
9230,Time Tunnelator,6495-1,,464,,,,
9231,Whirling Time Warper,6496-1,,464,,,,
9232,Twisted Time Train,6497-1,,464,,,,
9233,Go-Kart,6498-1,,82,,,,
9234,Time Tunnelator,6499-1,,464,,,,
9235,Car with Trailer and Racing Car,650-1,,423,,,,
9236,Sport Convertible,6501-1,,85,,,,
9237,Turbo Racer,6502-1,,82,,,,
9238,Star Wars Co-Pack of 7115 7124 and 7141,65028-1,,158,,,,
9239,Star Wars Co-Pack of 7104 and 7144,65030-1,,158,,,,
9240,Sprint Racer,6503-1,,82,,,,
9241,Star Wars Co-Pack,65034-1,,158,,,,
9242,Tractor,6504-1,,72,,,,
9243,Fire Chief's Car,6505-1,,74,,,,
9244,Precinct Cruiser,6506-1,,80,,,,
9245,Racers Turbo Pack,65062-1,,113,,,,
9246,Mini Dumper,6507-1,,72,,,,
9247,Dual Pack: Lehvak & Pahrak,65071-1,,328,,,,
9248,Wave Racer,6508-1,,77,,,,
9249,R2-D2 / C-3PO Droid Collectors Set,65081-1,,18,,,,
9250,Red Devil Racer,6509-1,,82,,,,
9251,Mud Runner,6510-1,,82,,,,
9252,Star Wars Episode II Co-Pack,65106-1,,158,,,,
9253,Pahrak Nuhvok Gahlok Co-Pack,65109-1,,328,,,,
9254,Tow Truck and Car,651-1,,423,,,,
9255,Kohrak Lehvak Tahnok Co-Pack,65110-1,,328,,,,
9256,Rescue Runabout,6511-1,,74,,,,
9257,Landscape Loader,6512-1,,72,,,,
9258,Bohrok Co-Pack (contains 8560 8561 8563),65127-1,,328,,,,
9259,Bohrok Co-Pack (contains 8562 8564 8565),65128-1,,328,,,,
9260,Glade Runner,6513-1,,77,,,,
9261,Trail Ranger,6514-1,,83,,,,
9262,X-wing Fighter / TIE Fighter & Y-wing Collectors Set,65145-1,,158,,,,
9263,Stunt Copter,6515-1,,68,,,,
9264,Jango Fett's Slave I with Bonus Carrying Case,65153-1,,158,,,,
9265,Moon Walker,6516-1,,88,,,,
9266,Water Jet,6517-1,,77,,,,
9267,Bob the Builder Co-Pack #2,65175-1,,626,,,,
9268,Bob the Builder Co-Pack #1,65177-1,,626,,,,
9269,Baja Buggy,6518-1,,71,,,,
9270,Slammer Stadium,65182-1,,461,,,,
9271,Bohrok 3-pack (contains 8560 8561 8564),65186-1,,328,,,,
9272,Turbo Tiger,6519-1,,91,,,,
9273,Mobile Outpost,6520-1,,51,,,,
9274,Emergency Repair Truck,6521-1,,85,,,,
9275,Fork Lift Truck and Trailer,652-2,,416,,,,
9276,Highway Patrol,6522-1,,80,,,,
9277,Streetball 2 vs 2 (box with mini basketball),65221-1,,459,,,,
9278,Rahkshi Co-Pack 1,65229-1,,344,,,,
9279,Rahkshi Co-Pack 2,65230-1,,344,,,,
9280,Red Cross,6523-1,,78,,,,
9281,Blizzard Blazer,6524-1,,85,,,,
9282,Blaze Commander,6525-1,,74,,,,
9283,Bob the Builder Co-Pack #3,65251-1,,626,,,,
9284,Power Chamber with Gahlok Tahnok Va Pahrak Va and Gahlok Va,65258-1,,324,,,,
9285,Red Line Racer,6526-1,,82,,,,
9286,Tipper Truck,6527-1,,72,,,,
9287,Rahkshi Kaita Za Pack (Includes Turahk Lerahk Kurahk and Tahnok Va),65277-1,,324,,,,
9288,Sand Storm Racer,6528-1,,82,,,,
9289,Ultra Light I,6529-1,,68,,,,
9290,Matoro and Kopeke Twin Pack with Gold Avohkii,65295-1,,335,,,,
9291,Hewkii and Hahli Twin Pack with Gold Avohkii,65296-1,,335,,,,
9292,Hafu and Macku Twin Pack with Gold Avohkii,65297-1,,335,,,,
9293,Sport Coupe,6530-1,,85,,,,
9294,Ambulance and Helicopter,653-1,,420,,,,
9295,Flame Chaser,6531-1,,74,,,,
9296,Diesel Dumper,6532-1,,72,,,,
9297,Police 4x4,6533-1,,80,,,,
9298,Dumper and Front End Loader Co-Pack (contains 8451 and 8453),65340-1,,7,,,,
9299,Beach Bandit,6534-1,,83,,,,
9300,Dumper,6535-1,,72,,,,
9301,Aero Hawk,6536-1,,68,,,,
9302,Jewels-n-Rings Click-N-Store Jewelry Set Co-Pack,65362-1,,500,,,,
9303,Jewels-n-Bands Click-N-Store Jewelry Set Co-Pack,65363-1,,500,,,,
9304,Jewels-n-Clips Click-N-Store Jewelry Set Co-Pack,65364-1,,500,,,,
9305,Hydro Racer,6537-1,,77,,,,
9306,Rebel Roadster,6538-1,,85,,,,
9307,Victory Cup Racers,6539-1,,82,,,,
9308,Pier Police,6540-1,,80,,,,
9309,Crane Lorry,654-1,,416,,,,
9310,Intercoastal Seaport,6541-1,,77,,,,
9311,Launch & Load Seaport,6542-1,,77,,,,
9312,Sail N' Fly Marina,6543-1,,77,,,,
9313,Shuttle Transcon 2,6544-1,,88,,,,
9314,Search N' Rescue,6545-1,,80,,,,
9315,Slick Racer,6546-1,,82,,,,
9316,Toa Metru Twin Pack with Kanoka and Poster,65468-1,,353,,,,
9317,Fun Fair,6547-1,,90,,,,
9318,Octan Gas Station,6548-1,,99,,,,
9319,Roadblock Runners,6549-1,,100,,,,
9320,Outback Racer,6550-1,,89,,,,
9321,Mobile Hydraulic Lift,655-1,,416,,,,
9322,Checkered Flag 500,6551-1,,82,,,,
9323,Matoran / Vahki Co-Pack 1 (contains 8607 8611 8614 8616 8618),65514-1,,324,,,,
9324,Matoran / Vahki Co-Pack 2 (contains 8610 8612 8615 8617 8619),65515-1,,324,,,,
9325,Dora the Explorer Value Pack,65517-1,,628,,,,
9326,"Spider-Man Co-Pack 1 (4853, 4857)",65518-1,,706,,,,
9327,Rocky River Retreat,6552-1,,83,,,,
9328,Motorized Hogwarts Express Value-pack,65524-1,,246,,,,
9329,Vladek's Attack,65527-1,,198,,,,
9330,Crisis News Crew,6553-1,,89,,,,
9331,X-Pod Play Off Game Pack,65535-1,,478,,,,
9332,Classic Freight Train,65537-1,,238,,,,
9333,Blaze Brigade,6554-1,,98,,,,
9334,Sweet Dreamy Jewels Click-N-Store Jewelry Set Co-Pack,65542-1,,500,,,,
9335,Ta-Metru Collector's Pack,65545-1,,324,,,,
9336,Bionicle Bonus Pack (8615 8617 8619 plus three Bionicle Comic books),65549-1,,357,,,,
9337,Sea Hunter,6555-1,,86,,,,
9338,Scuba Squad,6556-1,,86,,,,
9339,Treasure Hunters,6557-1,,86,,,,
9340,Spider-Man Co-Pack,65572-1,,706,,,,
9341,Rumble Racers,65573-1,,116,,,,
9342,Knights' Kingdom Value Pack,65579-1,,198,,,,
9343,Knights' Kingdom Value Pack,65580-1,,198,,,,
9344,Shark Cage Cove,6558-1,,86,,,,
9345,Deep Sea Bounty,6559-1,,86,,,,
9346,Diving Expedition Explorer,6560-1,,86,,,,
9347,Car and Caravan,656-1,,423,,,,
9348,Hot Rod Club,6561-1,,82,,,,
9349,Gas Stop Shop,6562-1,,76,,,,
9350,Gator Landing,6563-1,,83,,,,
9351,Recycle Truck,6564-1,,103,,,,
9352,The Grand Tournament Limited Edition Bonus Pack,65642-1,,198,,,,
9353,Construction Crew,6565-1,,97,,,,
9354,Security Express,6566-1,,103,,,,
9355,Speed Splash,6567-1,,87,,,,
9356,Drag Race Rally,6568-1,,87,,,,
9357,Polar Scout / Polar Explorer Co-Pack,6569-1,,51,,,,
9358,Snowmobile,6570-1,,51,,,,
9359,Executive Jet,657-1,,412,,,,
9360,Flame Fighters,6571-1,,74,,,,
9361,Limited Edition Collector Pack with Vohtarak Sidorak and Life-Size Toa Hordika Mask (8742 8756),65716-1,,324,,,,
9362,Wind Runners,6572-1,,87,,,,
9363,Arctic Expedition,6573-1,,51,,,,
9364,City Construction Value Pack,65743-1,,56,,,,
9365,Polar Base,6575-1,,51,,,,
9366,Special Edition Guardian Toa,65757-1,,349,,,,
9367,Sledge,6576-1,,51,,,,
9368,Thomas Bridge & Tunnel Set,65766-1,,631,,,,
9369,Attack from the Sea,65767-1,,198,,,,
9370,Jayko Value Pack,65768-1,,198,,,,
9371,Vladek Value Pack,65769-1,,198,,,,
9372,Snow Scooter,6577-1,,51,,,,
9373,Episode III Collectors' Set,65771-1,,158,,,,
9374,James and Percy Tunnel Set,65773-1,,631,,,,
9375,City Fire Value Pack,65777-1,,58,,,,
9376,Polar Explorer,6578-1,,51,,,,
9377,Ice Surfer,6579-1,,51,,,,
9378,City Fire Station Value Pack,65799-1,,58,,,,
9379,City Construction Set Value Pack,65800-1,,56,,,,
9380,Land Jet 7,6580-1,,87,,,,
9381,Trains Value Pack,65801-1,,239,,,,
9382,Toa Hordika Value Pack,65808-1,,324,,,,
9383,Fire Engine,658-1,,417,,,,
9384,Dig 'N' Dump,6581-1,,72,,,,
9385,Special Edition Co-Pack with Sidorak and Toa Iruini (8756 8762),65813-1,,324,,,,
9386,Daredevil Flight Squad,6582-1,,87,,,,
9387,Extreme Team Challenge,6584-1,,87,,,,
9388,Star Wars Co-Pack of 7255 4492 and 4494,65844-1,,158,,,,
9389,Star Wars Co-Pack of 7256 4492 and 4494,65845-1,,158,,,,
9390,Bionicle Co-Pack,65849-1,,341,,,,
9391,Hang-Glider,6585-1,,87,,,,
9392,Knights Kingdom II Co-Pack,65851-1,,198,,,,
9393,Polar Scout,6586-1,,51,,,,
9394,Radical Racer,6589-1,,87,,,,
9395,Vacation Camper,6590-1,,85,,,,
9396,Police Patrol with Policemen,659-1,,421,,,,
9397,Nitro Dragsters,6591-1,,82,,,,
9398,Vacation Hideaway,6592-1,,69,,,,
9399,Blaze Battler,6593-1,,74,,,,
9400,Gas Transit,6594-1,,76,,,,
9401,Surf Shack,6595-1,,83,,,,
9402,Wave Master,6596-1,,77,,,,
9403,Century Skyway,6597-1,,68,,,,
9404,Metro PD Station,6598-1,,80,,,,
9405,Shark Attack,6599-1,,86,,,,
9406,Police Patrol,6600-1,,80,,,,
9407,Highway Construction,6600-2,,97,,,,
9408,Car with Plane Transporter,660-1,,423,,,,
9409,Ice Cream Cart,6601-1,,75,,,,
9410,Fire Chief's Car,6602-1,,74,,,,
9411,Scorpion Buggy,6602-2,,91,,,,
9412,Shovel Truck,6603-1,,72,,,,
9413,Formula-I Racer,6604-1,,82,,,,
9414,Road Racer,6605-1,,82,,,,
9415,Road Repair Set,6606-1,,85,,,,
9416,Service Truck,6607-1,,85,,,,
9417,Tractor,6608-1,,73,,,,
9418,Race Car,6609-1,,82,,,,
9419,Shell Petrol Pumps,6610-1,,76,,,,
9420,Spirit of St. Louis,661-1,,412,,,,
9421,Fire Chief's Car,6611-1,,74,,,,
9422,City Emergency Services Vehicles (Multipack),66116-1,,52,,,,
9423,Offre Speciale,66117-1,,52,,,,
9424,Fire Chief's Car,6612-1,,74,,,,
9425,Telephone Booth,6613-1,,85,,,,
9426,Toa Hordika Collection,66138-1,,350,,,,
9427,Launch Evac 1,6614-1,,88,,,,
9428,Eagle Stunt Flyer,6615-1,,68,,,,
9429,Limited Edition Green Brick Tub Value-Pack,66151-1,,505,,,,
9430,City Airport Exclusive Pack,66156-1,,53,,,,
9431,Rocket Dragster,6616-1,,91,,,,
9432,Tough Truck Rally,6617-1,,91,,,,
9433,Building Bonanza Value Pack,66173-1,,205,,,,
9434,City Firemen Bundle,66174-1,,58,,,,
9435,City Rescue Pack,66175-1,,52,,,,
9436,City Rescue Pack,66177-1,,52,,,,
9437,Blue Racer,6618-1,,91,,,,
9438,Creative Building Set,66188-1,,37,,,,
9439,Creative Building,66189-1,,505,,,,
9440,Red Four Wheel Driver,6619-1,,91,,,,
9441,City Medical Super Pack,66193-1,,60,,,,
9442,City Super Pack,66194-1,,56,,,,
9443,City Super Pack,66195-1,,58,,,,
9444,Ultimate Accessory Set 500,6620-1,,346,,,,
9445,Gift Set,66207-1,,351,,,,
9446,Mr. Magoriums big book (Mr. Magorium's Wonder Emporium),66208-1,,23,,,,
9447,Dumper Lorry,662-1,,416,,,,
9448,Fire Truck,6621-1,,74,,,,
9449,Farm Value Pack #2,66217-1,,650,,,,
9450,Mailman on Motorcycle,6622-1,,67,,,,
9451,X-wing Fighter and Luke Pilot Maquette Co-Pack,66221-1,,158,,,,
9452,Gift Set,66225-1,,389,,,,
9453,Police Car,6623-1,,80,,,,
9454,Farm Value Pack,66231-1,,650,,,,
9455,Build & Play Value Pack,66236-1,,505,,,,
9456,Build & Play Value Pack,66237-1,,37,,,,
9457,City Trains Super Set,66239-1,,66,,,,
9458,Delivery Van,6624-1,,70,,,,
9459,City Super Pack,66246-1,,61,,,,
9460,City Super Pack,66247-1,,52,,,,
9461,Speed Trackers,6625-1,,80,,,,
9462,Luke Skywalker Pilot Maquette,66254-1,,501,,,,
9463,City Super Pack 6 in 1,66255-1,,52,,,,
9464,City Super Pack,66256-1,,52,,,,
9465,City Super Pack 4 in 1,66257-1,,61,,,,
9466,City Super Pack,66258-1,,52,,,,
9467,City Super Pack (7733 7734 7992),66260-1,,54,,,,
9468,Rescue Helicopter,6626-1,,78,,,,
9469,Snow Scooter,6626-2,,51,,,,
9470,Town Value Pack,66262-1,,650,,,,
9471,Duplo Super Pack 3 in 1,66264-1,,650,,,,
9472,Convertible,6627-1,,85,,,,
9473,Shell Tow Truck,6628-1,,76,,,,
9474,Construction Workers,6628-2,,84,,,,
9475,City Police Co-Pack,66282-1,,61,,,,
9476,Build and Play Value Pack,66283-1,,505,,,,
9477,Build and Play Value Pack,66284-1,,37,,,,
9478,City Coast Guard Super Pack 4 in 1,66290-1,,55,,,,
9479,Ambulance,6629-1,,78,,,,
9480,Bucket Loader,6630-1,,72,,,,
9481,City Super Pack 3 in 1,66305-1,,61,,,,
9482,City Coast Guard Super Pack 3 in 1,66306-1,,55,,,,
9483,City Superpack 3 in 1,66307-1,,52,,,,
9484,Star Wars Super Pack 3 in 1 (7667 7668 8017),66308-1,,158,,,,
9485,Hovercraft,663-1,,419,,,,
9486,Value Pack,66310-1,,505,,,,
9487,Steam Shovel,6631-1,,72,,,,
9488,LEGO Creative Value Pack (TRU Exclusive),66311-1,,37,,,,
9489,Technic Super Pack 4 in 1 (8259 8290 8293 8294),66318-1,,7,,,,
9490,Power Miners 3 in 1 Superpack,66319-1,,439,,,,
9491,Zoo Super Pack 3 in 1,66320-1,,650,,,,
9492,Tactical Patrol Truck,6632-1,,80,,,,
9493,Zoo Super Pack 4 in 1,66321-1,,650,,,,
9494,City Super Pack 4 in 1,66325-1,,66,,,,
9495,City Super Pack 4 in 1,66326-1,,52,,,,
9496,City Super Pack 6 in 1,66328-1,,52,,,,
9497,City Super Pack 3 in 1,66329-1,,52,,,,
9498,City Super Pack 5 in 1,66330-1,,56,,,,
9499,Family Car,6633-1,,85,,,,
9500,City Super Pack 3 in 1,66331-1,,56,,,,
9501,Duplo Super Pack 3 in 1,66332-1,,650,,,,
9502,Stock Car,6634-1,,82,,,,
9503,Star Wars Super Pack 3 in 1 (8014 8015 8091),66341-1,,158,,,,
9504,City Super Pack 3 in 1,66342-1,,58,,,,
9505,Super Pack 4 in 1,66344-1,,632,,,,
9506,City Super Pack 4 in 1 (3177 7241 7634 7638),66345-1,,52,,,,
9507,City Super Pack 4 in 1,66357-1,,58,,,,
9508,City Super Pack 3 in 1,66358-1,,57,,,,
9509,Technic Super Pack 4 in 1 (8049 8259 8260 8293),66359-1,,1,,,,
9510,City Super Pack 4 in 1,66360-1,,58,,,,
9511,Police Headquarters,6636-1,,100,,,,
9512,Duplo Super Pack 3 in 1,66361-1,,634,,,,
9513,City Super Pack 4 in 1,66362-1,,52,,,,
9514,City Super Pack 4 in 1 (7235 7236 7245 7741),66363-1,,61,,,,
9515,Star Wars Super Pack 3 in 1,66364-1,,158,,,,
9516,Atlantis Super Pack 4 in 1 (8057 8058 8059 8080),66365-1,,315,,,,
9517,Star Wars Super Pack  3 in 1 (8089 8083 7749),66366-1,,158,,,,
9518,Farm Super Pack 3 in 1,66367-1,,632,,,,
9519,Star Wars Super Pack 3 in 1 (8083 8084 8092),66368-1,,158,,,,
9520,Ultimate Battle Set,6637-1,,346,,,,
9521,Fun Favor Pack,66373-1,,22,,,,
9522,City Super Pack 4 in 1 (7895 7896 7937 7939),66374-1,,66,,,,
9523,City Super Pack 4 in 1,66375-1,,61,,,,
9524,Star Wars Super Pack 3 in 1,66377-1,,158,,,,
9525,Star Wars Super Pack 3 in 1,66378-1,,158,,,,
9526,Co-Pack Bricks & More,66379-1,,505,,,,
9527,LEGO Creative Value Pack (TRU UK Exclusive),66380-1,,37,,,,
9528,Ultimate Creatures Accessory Set (Special Edition) 300+ Pieces,6638-1,,346,,,,
9529,Ninjago Super Pack 3 in 1,66383-1,,435,,,,
9530,Cars 2 Super Pack 3 in 1,66386-1,,269,,,,
9531,Cars 2 Super Pack 3 in 1,66387-1,,269,,,,
9532,City Super Pack 4 in 1,66388-1,,61,,,,
9533,City Super Pack 5 in 1,66389-1,,61,,,,
9534,Raven Racer,6639-1,,82,,,,
9535,Duplo Cars Super Pack 3 in 1,66392-1,,506,,,,
9536,DUPLO Super Pack 3 in 1,66393-1,,632,,,,
9537,Ninjago Super Pack 3 in 1,66394-1,,435,,,,
9538,Super Pack 3 in 1,66395-1,,158,,,,
9539,Star Wars Super Pack 3 in 1,66396-1,,158,,,,
9540,Technic Super Pack 4 in 1,66397-1,,1,,,,
9541,"Hero Factory Super Pack 2 in 1 (2065, 2067)",66404-1,,401,,,,
9542,City Super Pack 4 in 1 (7939 7937 7499 7895),66405-1,,66,,,,
9543,Hero Factory Super Pack 2 in 1,66406-1,,400,,,,
9544,Hero Factory Super Pack 2 in 1,66407-1,,400,,,,
9545,Cars Super Pack 3 in 1,66409-1,,269,,,,
9546,TV Crew,664-1,,423,,,,
9547,Super Pack 3 in 1,66410-1,,435,,,,
9548,4-Wheelin' Truck,6641-1,,79,,,,
9549,Super Pack 3 in 1,66411-1,,158,,,,
9550,City Super Pack 2 in 1,66412-1,,61,,,,
9551,"Hero Factory Super Pack 2 in 1 (2143, 2145)",66414-1,,401,,,,
9552,Police Helicopter,6642-1,,80,,,,
9553,City Super Pack 3 in 1,66426-1,,58,,,,
9554,"City Super Pack 4 in 1 (4436, 4437, 4439, 4441)",66427-1,,61,,,,
9555,City Super Pack 4 in 1,66428-1,,61,,,,
9556,Duplo Super Pack 3 in 1,66429-1,,634,,,,
9557,Zoo Super Pack 3 in 1,66430-1,,632,,,,
9558,Fire Truck,6643-1,,74,,,,
9559,"Star Wars Super Pack 3 in 1 (7914, 9488, 9491)",66431-1,,158,,,,
9560,Super Pack 3 in 1,66432-1,,158,,,,
9561,Technic Super Pack 3 in 1,66433-1,,1,,,,
9562,"Friends Super Pack 3 in 1 (3187, 3934, 3935)",66434-1,,494,,,,
9563,"Friends Super Pack 4 in 1 (3061, 3183, 3934, 3936)",66435-1,,494,,,,
9564,"City Super Pack 2 in 1 (4436, 4437)",66436-1,,61,,,,
9565,"Hero Factory Super Pack 2 in 1 (6216, 6293)",66437-1,,400,,,,
9566,Road Rebel,6644-1,,85,,,,
9567,Super Pack 3 in 1,66444-1,,435,,,,
9568,"City Super Pack 3 in 1 (60000, 60001, 60002)",66448-1,,58,,,,
9569,Star Wars Super Pack 3 in 1,66449-1,,158,,,,
9570,Legends of Chima Super Pack 3 in 1,66450-1,,571,,,,
9571,Street Sweeper,6645-1,,85,,,,
9572,City Traffic Super Pack 4 in 1,66451-1,,52,,,,
9573,"Hero Factory Super Pack 2 in 1 (6282, 6283)",66452-1,,400,,,,
9574,City Super Pack 4 in 1,66453-1,,58,,,,
9575,Farm Super Pack 3 in 1,66454-1,,632,,,,
9576,Friends Super Pack 3 in 1,66455-1,,494,,,,
9577,Star Wars Super Pack 3 in 1,66456-1,,158,,,,
9578,Screaming Patriot,6646-1,,82,,,,
9579,Highway Repair,6647-1,,85,,,,
9580,Hero Factory Super Pack 2 in 1,66471-1,,400,,,,
9581,Star Wars Super Pack 3 in 1,66473-1,,158,,,,
9582,Legends of Chima Super Pack 2 in 1,66474-1,,571,,,,
9583,City Super Pack 3 in 1,66475-1,,52,,,,
9584,City Super Pack 3 in 1,66476-1,,52,,,,
9585,Friends Super Pack 3 in 1,66478-1,,494,,,,
9586,"Super Pack 3 in 1 (75015, 75035, 75043)",66479-1,,158,,,,
9587,Mag Racer,6648-1,,82,,,,
9588,Hero Factory Super Pack 2 in 1,66481-1,,400,,,,
9589,Dump Truck,6648-2,,72,,,,
9590,Hero Factory Super Pack 2 in 1,66482-1,,400,,,,
9591,Hero Factory Super Pack 3 in 1,66483-1,,400,,,,
9592,Hero Factory Super Pack 3 in 1,66484-1,,400,,,,
9593,Hero Factory Super Pack 3 in 1,66485-1,,400,,,,
9594,Hero Factory Super Pack 2 in 1,66488-1,,400,,,,
9595,Street Sweeper,6649-1,,85,,,,
9596,Legends of Chima Super Pack 5 in 1,66491-1,,571,,,,
9597,City Super Pack 3 in 1,66492-1,,61,,,,
9598,City Train Super Pack 4 in 1,66493-1,,66,,,,
9599,Duplo Super Pack 3 in 1,66494-1,,634,,,,
9600,Star Wars Super Pack 3 in 1,66495-1,,158,,,,
9601,Animals' Christmas Party Set,66497-1,,494,,,,
9602,CHI Hyper Laval / CHI Hyper Eris,66498-1,,571,,,,
9603,Legends of Chima Super Pack 2 in 1 - Chi Hyper Gorzan,66499-1,,571,,,,
9604,Legends of Chima Super Pack 2 in 1 - Chi Hyper Cragger,66500-1,,571,,,,
9605,Fire and Rescue Van,6650-1,,74,,,,
9606,Post Office Van,6651-1,,67,,,,
9607,"Star Wars Super Pack 2 in 1 (75048, 75053)",66512-1,,158,,,,
9608,"Star Wars Microfighters Super Pack 3 in 1 (75028, 75029, 75030)",66514-1,,158,,,,
9609,Microfighters Super Pack 3-in-1,66515-1,,158,,,,
9610,Construction Truck,6652-1,,72,,,,
9611,City Super Pack 3 in 1,66521-1,,56,,,,
9612,City Super Pack 4 in 1,66522-1,,52,,,,
